Provider,Journal of Neurosurgery Publishing Group
Package Identifier,Master
Package Name,Journal of Neurosurgery Publishing Group:Master
Agreement Term Start Year,01/01/2014
Agreement Term End Year,31/12/2100
Consortium,""
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date
Journal of Neurosurgery,0022-3085,1933-0693,,,,,,,,fulltext,,,,Journal of Neurosurgery Publishing Group,http://demo.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
JNS Spine,1547-5654,1547-5646,,,,,,,,fulltext,,,,Journal of Neurosurgery Publishing Group,http://demo.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
JNS Pediatrics,1933-0707,1933-0715,,,,,,,,fulltext,,,,Journal of Neurosurgery Publishing Group,http://demo.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
