Provider,American Association of Neurological Surgeons
Package Identifier,Master
Package Name,American Association of Neurological Surgeons:Master
Agreement Term Start Year,01/01/2014
Agreement Term End Year,31/12/2100
Consortium,""
publication_title,ID.issn,ID.eissn,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,embargo_info,coverage_depth,coverage_notes,publisher_name,ID.doi,platform.host.name,platform.host.url,platform.administrative.name,platform.administrative.url,hybrid_oa,access_start_date,access_end_date
Journal of Neurosurgery,0022-3085,1933-0693,,,,,,,,fulltext,,,,American Association of Neurological Surgeons,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Journal of Neurosurgery: Spine,1547-5654,1547-5646,,,,,,,,fulltext,,,,American Association of Neurological Surgeons,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
Journal of Neurosurgery: Pediatrics,1933-0707,1933-0715,,,,,,,,fulltext,,,,American Association of Neurological Surgeons,http://www.kbplus.ac.uk/kbplus/noHostPlatformUrl,,,,,
